|  pc  |dbgRegLo|dbgRegHi|RAM16K[0| time  |
| 0001 |      0 |      0 |      0 |1      |
| 0002 |      0 |      0 |      0 |2      |
| 0003 |      0 |      0 |      0 |3      |
| 0004 |      0 |      0 |      0 |4      |
| 0005 |      0 |      0 |      0 |5      |
| 0006 |      0 |      0 |      0 |6      |
| 0003 |      0 |      0 |      0 |7      |
| 0004 |      0 |      0 |      0 |8      |
| 0005 |      0 |      0 |      0 |9      |
| 0006 |      0 |      0 |      0 |10     |
| 0003 |      0 |      0 |      0 |11     |
| 0004 |      0 |      0 |      0 |12     |
| 0005 |      0 |      0 |      0 |13     |
| 0008 |      0 |      0 |      0 |14     |
| 0008 |      0 |      0 |      0 |15     |
| 0008 |      0 |      0 |      0 |16     |
| 0008 |      0 |      0 |      0 |17     |
| 0008 |      0 |      0 |      0 |18     |
| 0008 |      0 |      0 |      0 |19     |
| 0008 |      0 |      0 |      0 |20     |
| 0008 |      0 |      0 |      0 |20     |
| 0008 |      6 |      0 |      0 |20     |
| 0008 |      1 |      0 |      0 |20     |
